experiment,category,num_queries,precision,recall,f1_score
Baseline,returns,11,0.818,0.909,0.818
Baseline,contact,6,0.750,1.000,0.828
Baseline,account,2,0.834,1.000,0.900
Baseline,payment,4,0.500,0.875,0.542
Baseline,shipping,2,0.666,1.000,0.750
Baseline,product,3,0.556,1.000,0.711
Baseline,technical,1,1.000,1.000,1.000
Baseline,out_of_scope,1,0.000,1.000,0.000
Exp5,returns,11,0.939,0.909,0.894
Exp5,contact,6,0.945,1.000,0.967
Exp5,account,2,0.584,1.000,0.734
Exp5,payment,4,0.541,1.000,0.667
Exp5,shipping,2,0.750,1.000,0.834
Exp5,product,3,0.500,0.833,0.611
Exp5,technical,1,0.500,1.000,0.667
Exp5,out_of_scope,1,0.000,1.000,0.000
Exp6,returns,11,0.939,0.909,0.894
Exp6,contact,6,0.917,0.917,0.917
Exp6,account,2,1.000,1.000,1.000
Exp6,payment,4,0.541,1.000,0.667
Exp6,shipping,2,0.750,0.750,0.667
Exp6,product,3,0.500,0.833,0.611
Exp6,technical,1,0.500,1.000,0.667
Exp6,out_of_scope,1,0.000,1.000,0.000
Exp7,returns,11,0.939,0.909,0.894
Exp7,contact,6,0.917,0.917,0.917
Exp7,account,2,1.000,1.000,1.000
Exp7,payment,4,0.541,1.000,0.667
Exp7,shipping,2,0.750,0.750,0.667
Exp7,product,3,0.500,0.833,0.611
Exp7,technical,1,0.500,1.000,0.667
Exp7,out_of_scope,1,0.000,1.000,0.000
